FID,objectid,nom,type,commune,adresse,code_insee,latitude,longitude,geom,date_modification
point_vente.59,59,COCCIMARKET,Point de vente,FRELINGHIEN,1 RUE D'ARMENTIÈRES 59236 FRELINGHIEN,59252,50.710495,2.932308,POINT (50.7104945 2.9323085),2026-05-27T04:00:47.935
point_vente.60,60,CAFE DU CENTRE café-tabac,Point de vente,SAINGHIN-EN-WEPPES,40 RUE GAMBETTA 59184 SAINGHIN-EN-WEPPES,59524,50.56305,2.899214,POINT (50.56305 2.8992135),2026-05-27T04:00:47.935
point_vente.61,61,TOUTE LA PRESSE librairie,Point de vente,TOURCOING,200 RUE DE GAND 59200 TOURCOING,59599,50.732259,3.160256,POINT (50.7322595 3.1602563),2026-05-27T04:00:47.935
point_vente.62,62,L'INSTANT JEUX librairie,Point de vente,LEERS,AUSHOPPING LEERS 59115 LEERS,59339,50.68069,3.22133,POINT (50.6806901 3.2213303),2026-05-27T04:00:47.935
point_vente.65,65,AU BLANC SEAU café-tabac,Point de vente,TOURCOING,69 RUE DE MOUVAUX 59200 TOURCOING,59599,50.694996,3.14963,POINT (50.6949958 3.1496298),2026-05-27T04:00:47.935
point_vente.66,66,LE RALLY café-tabac,Point de vente,SALOMÉ,6 RUE JEAN JAURÈS 59496 SALOMÉ,59550,50.531937,2.84319,POINT (50.5319371 2.8431898),2026-05-27T04:00:47.935
point_vente.67,67,LE CLINQUET café-tabac,Point de vente,TOURCOING,468 RUE DU CLINQUET 59200 TOURCOING,59599,50.727019,3.128178,POINT (50.72701929999999 3.128178),2026-05-27T04:00:47.935
point_vente.69,69,L'EXPRESSO café-tabac,Point de vente,FACHES-THUMESNIL,109 AV. CHARLES SAINT-VENANT 59155 FACHES-THUMESNIL,59220,50.606654,3.070894,POINT (50.6066539 3.0708941),2026-05-27T04:00:47.935
point_vente.70,70,LE LABOUREUR café-PMU,Point de vente,WATTRELOS,285 RUE CARNOT 59150 WATTRELOS,59650,50.69608,3.201713,POINT (50.69607999999999 3.2017126),2026-05-27T04:00:47.935
point_vente.71,71,LA VIGNETTE brasserie,Point de vente,LINSELLES,2 RUE DES WATTINES 59126 LINSELLES,59352,50.747009,3.086729,POINT (50.7470089 3.0867288),2026-05-27T04:00:47.935
point_vente.75,75,AUCHAN accueil principal,Point de vente,FACHES-THUMESNIL,AUSHOPPING FACHES 59155 FACHES-THUMESNIL,59220,50.58122,3.081189,POINT (50.5812198 3.081189299999999),2026-05-27T04:00:47.935
point_vente.76,76,SHOP DU CHÂTEAU alimentation-supérette,Point de vente,VILLENEUVE-D'ASCQ,183 ALL. CHARDIN 59650 VILLENEUVE-D'ASCQ,59009,50.637865,3.139417,POINT (50.6378652 3.1394166),2026-05-27T04:00:47.935
point_vente.77,77,L'OREE DU GOLF civette,Point de vente,WASQUEHAL,7 RUE LÉON JOUHAUX 59290 WASQUEHAL,59646,50.663193,3.129997,POINT (50.6631927 3.1299975),2026-05-27T04:00:47.935
point_vente.78,78,LE VALMY café-tabac,Point de vente,LILLE,7 PL. PHILIPPE LEBON 59000 LILLE,59350,50.628323,3.061734,POINT (50.6283229 3.0617341),2026-05-27T04:00:47.935
point_vente.79,79,LE KIOSQUE librairie-presse,Point de vente,VILLENEUVE-D'ASCQ,2 PLACE JEAN MOULIN 59650 VILLENEUVE-D'ASCQ,59009,50.64084,3.154524,POINT (50.6408396 3.1545245),2026-05-27T04:00:47.935
point_vente.80,80,CHEZ SYLVIE librairie-presse,Point de vente,GENECH,8 RUE DU RIEZ 59242 GENECH,59258,50.530739,3.222845,POINT (50.5307391 3.2228454),2026-05-27T04:00:47.935
point_vente.81,81,LA CIVETTE DU SART café-loto,Point de vente,MONS-EN-BARŒUL,59 AV. DE VERDUN 59370 MONS-EN-BARŒUL,59410,50.638117,3.102651,POINT (50.63811739999999 3.102651400000001),2026-05-27T04:00:47.935
point_vente.82,82,AU BON ACCUEIL café-tabac,Point de vente,BOUSBECQUE,23 PL. DU GÉNÉRAL DE GAULLE 59166 BOUSBECQUE,59098,50.771815,3.078099,POINT (50.7718152 3.078099),2026-05-27T04:00:47.935
point_vente.83,83,LYS PRESSE librairie-presse,Point de vente,LYS-LEZ-LANNOY,157 RUE JULES GUESDE 59390 LYS-LEZ-LANNOY,59367,50.673612,3.203486,POINT (50.6736119 3.2034865),2026-05-27T04:00:47.935
point_vente.84,84,LE FLANDRE café-tabac,Point de vente,LILLE,105 RUE D'ISLY 59000 LILLE,59350,50.621276,3.035478,POINT (50.6212761 3.0354781),2026-05-27T04:00:47.935
point_vente.86,86,LE TOUT QUAI café-tabac,Point de vente,LILLE,106 RUE DE LA BARRE 59800 LILLE,59350,50.638543,3.054138,POINT (50.638543 3.054138),2026-05-27T04:00:47.935
point_vente.87,87,LAST ONE café-loto-PMU,Point de vente,TOURCOING,212 RUE ACHILLE TESTELIN 59200 TOURCOING,59599,50.735585,3.188076,POINT (50.735585 3.1880759),2026-05-27T04:00:47.935
point_vente.88,88,LA LICORNE café-loto,Point de vente,WATTRELOS,25 RUE PIERRE CATTEAU 59150 WATTRELOS,59650,50.701458,3.21329,POINT (50.7014579 3.21329),2026-05-27T04:00:47.935
point_vente.89,89,LE LIBERTY bar-PMU-loto,Point de vente,LEERS,10 RUE DES PATRIOTES 59115 LEERS,59339,50.67948,3.247429,POINT (50.6794801 3.247429),2026-05-27T04:00:47.935
point_vente.91,91,LE REINITAS civette,Point de vente,LA BASSÉE,54 RUE DU GÉNÉRAL LECLERC 59480 LA BASSÉE,59051,50.531629,2.807458,POINT (50.5316287 2.8074578),2026-05-27T04:00:47.935
point_vente.92,92,LE POMPIDOU café-loto-PMU,Point de vente,LA MADELEINE,112 bis RUE DU PRÉSIDENT GEORGES POMPIDOU 59110 LA MADELEINE,59368,50.655873,3.064522,POINT (50.65587295414601 3.064521526310941),2026-05-27T04:00:47.935
point_vente.93,93,LE GALLIA tabac-loto-PMU,Point de vente,TOUFFLERS,2 PL. DE LA RÉPUBLIQUE 59390 TOUFFLERS,59598,50.661173,3.228731,POINT (50.6611732 3.2287315),2026-05-27T04:00:47.935
point_vente.94,94,LE MARIGNY café-tabac,Point de vente,TOURCOING,1 RUE LOUIS LELOIR 59200 TOURCOING,59599,50.718226,3.166967,POINT (50.7182262 3.1669667),2026-05-27T04:00:47.935
point_vente.95,95,LA BROUETTE librairie-presse,Point de vente,NEUVILLE-EN-FERRAIN,45 BIS RUE DE TOURCOING 59960 NEUVILLE-EN-FERRAIN,59426,50.749895,3.15489,POINT (50.74989474195691 3.154890437217773),2026-05-27T04:00:47.935
point_vente.96,96,LE BAYARD café-loto-PMU,Point de vente,TOURCOING,35 RUE DU FRESNOY 59200 TOURCOING,59599,50.700582,3.15536,POINT (50.70058179999999 3.1553597),2026-05-27T04:00:47.935
point_vente.97,97,LE CARNOT café-tabac,Point de vente,FACHES-THUMESNIL,237 RUE CARNOT 59155 FACHES-THUMESNIL,59220,50.600062,3.06857,POINT (50.6000622 3.0685702),2026-05-27T04:00:47.935
point_vente.99,99,LE NEMROD café-tabac,Point de vente,MARQUETTE-LEZ-LILLE,14 RUE HENRI PETERS 59520 MARQUETTE-LEZ-LILLE,59386,50.676098,3.065461,POINT (50.676098 3.0654607),2026-05-27T04:00:47.935
point_vente.100,100,LE BARZA café-tabac,Point de vente,WAMBRECHIES,1 QUAI DE L'ÉCLUSE 59118 WAMBRECHIES,59636,50.687528,3.053452,POINT (50.68752840000001 3.0534522),2026-05-27T04:00:47.935
